tic,datafqtr,atq,cshoq,niq,prccq
AMD,2012Q2,5041,707,37,5.73
AMD,2012Q3,4612,712,-157,3.37
AMD,2012Q4,4000,713,-473,2.4
AMD,2013Q1,3797,714,-146,2.55
AMD,2013Q2,3897,720,-74,4.08
AMD,2013Q3,4317,723,48,3.81
AMD,2013Q4,4337,725,89,3.87
AMD,2014Q1,4108,762,-20,4.01
AMD,2014Q2,4246,765,-36,4.19
AMD,2014Q3,4325,775,17,3.41
AMD,2014Q4,3767,776,-364,2.67
AMD,2015Q1,3428,778,-180,2.68
AMD,2015Q2,3381,779,-181,2.4
AMD,2015Q3,3229,790,-197,1.72
AMD,2015Q4,3109,792,-102,2.87
AMD,2016Q1,2981,793,-109,2.85
AMD,2016Q2,3316,795,69,5.14
AMD,2016Q3,3616,926,-406,6.91
AMD,2016Q4,3321,935,-51,11.34
AMD,2017Q1,3299,942,-33,14.55
AMD,2017Q2,3370,947,-42,12.48
AMD,2017Q3,3586,965,61,12.75
AMD,2017Q4,3540,967,-19,10.28
AMD,2018Q1,3763,969,81,10.05
AMD,2018Q2,4103,975,116,14.99
AMD,2018Q3,4347,999,102,30.89
AMD,2018Q4,4556,1005,38,18.46
AMD,2019Q1,4931,1082,16,25.52
AMD,2019Q2,5102,1086,35,30.37
AMD,2019Q3,5253,1114,120,28.99
AMD,2019Q4,6028,1170,170,45.86
AMD,2020Q1,5864,1171,162,45.48
AMD,2020Q2,6583,1174,157,52.61
AMD,2020Q3,7023,1202,390,81.99
AMD,2020Q4,8962,1211,1781,91.71
AMD,2021Q1,10047,1215,555,78.5
AMD,2021Q2,10691,1213,710,93.93
AMD,2021Q3,11153,1212,923,102.9
AMD,2021Q4,12419,1207,974,143.9
AMD,2022Q1,66915,1620,786,109.34
AMD,2022Q2,67502,1612,447,76.47
AMD,2022Q3,67811,1612,66,63.36
AMD,2022Q4,67580,1612,21,64.77
AMD,2023Q1,67634,1609,-139,98.01
AMD,2023Q2,67967,1614,27,113.91
AMD,2023Q3,67626,1615,299,102.82
AMD,2023Q4,67885,1616,667,147.41
AMD,2024Q1,67895,1618,123,180.49
ASMIY,2012Q2,2112.525,54.967,22.023,37.85
ASMIY,2012Q3,2075.664,54.992,6.761,33.81
ASMIY,2012Q4,1977.249,63.096,-27.704,36.28
ASMIY,2013Q1,2853.267,63.169,1807.243,33.3
ASMIY,2013Q2,2922.897,63.173,-3.09,32.68
ASMIY,2013Q3,2618.928,63.195,71.619,34.7
ASMIY,2013Q4,2137.466,63.468,-426.369,33
ASMIY,2014Q1,2233.795,63.544,37.387,40.13
ASMIY,2014Q2,2230.353,63.651,47.128,41.58
ASMIY,2014Q3,2252.086,63.659,62.347,36.42
ASMIY,2014Q4,2210.772,62.968,19.294,42.37
ASMIY,2015Q1,2205.891,62.607,64.433,46.08
ASMIY,2015Q2,2188.597,61.914,46.941,46.25
