match_name,Symbol
microsoft,MSFT
apple,AAPL
nvidia,NVDA
google,GOOG
amazon,AMZN
meta,META
tsmc,TSM
broadcom,AVGO
tesla,TSLA
tencent,TCEHY
samsung electronics,005930.KS
asml,ASML
oracle,ORCL
salesforce,CRM
netflix,NFLX
amd,AMD
adobe,ADBE
sap,SAP
qualcomm,QCOM
,BABA
,PDD
cisco systems,CSCO
intuit,INTU
applied materials,AMAT
texas instruments,TXN
ibm,IBM
servicenow,NOW
uber,UBER
intel corporation,INTC
micron technology,MU
schneider electric,SU.PA
booking.com,BKNG
lam research,LRCX
arm,ARM
keyence,6861.T
tokyo electron,8035.T
sony,SONY
airbnb,ABNB
analog devices,ADI
,SHOP
adp,ADP
,PANW
kla,KLAC
,3690.HK
dell technologies,DELL
fiserv,FI
sk hynix,000660.KS
arista,ANET
,MELI
synopsys,SNPS
cadence design systems,CDNS
,CRWD
hon hai,2317.TW
paypal,PYPL
,NXPI
,WDAY
equinix,EQIX
netease com,NTES
marvell technology,MRVL
,SPOT
constellation,CSU.TO
xiaomi,XIACF
nintendo,7974.T
,PLTR
,COIN
roper technologies,ROP
,SNOW
dassault systemes,DSY.PA
mediatek,2454.TW
microchip technology,MCHP
,JD
super mico computer inc supermicro,SMCI
,DASH
,TEAM
autodesk,ADSK
black,SQ
infineon technologies,IFX.DE
,FTNT
,TTD
te connectivity,TEL
datadog,DDOG
,CPNG
iqvia,IQV
baidu,BIDU
,FIS
,ADYEN.AS
,SE
costar group,CSGP
wolters kluwer,WKL.AS
stmicroelectronics,STM
,MPWR
electronic arts,EA
,TCOM
,1024.HK
murata manufacturing,6981.T
,VEEV
,6146.T
garmin,GRMN
asm,ASM.AS
hubspot,HUBS
quanta computer,2382.TW
fico,FICO
,6723.T
onsemi,ON
global payment technologies,GPN
ansys,ANSS
hp inc,HPQ
amadeus,AMS.MC
snap,SNAP
globalfoundries,GFS
canon,7751.T
,ZS
,MDB
,SPLK
keysight technologies,KEYS
,DIDIY
,2308.TW
take two,TTWO
,APP
,NET
ebay,EBAY
,SYM
advantest,6857.T
,MBLY
,0981.HK
laser technology,6920.T
,DELTA.BK
,KKS.F
,ASX
microstrategy,MSTR
hewlett packard enterprise hpe,HPE
netapp,NTAP
,035420.KS
align technology,ALGN
,IOT
ptc,PTC
panasonic,6752.T
,WTC.AX
nokia,NOK
zomato,ZOMATO.NS
united microelectronics,UMC
tyler technologies,TYL
entegris,ENTG
nec corporation,6701.T
leidos,LDOS
zoom,ZM
seagate technology,STX
,GDDY
ericsson worldwide,ERIC
,PSTG
check point software technologies,CHKP
factset,FDS
,OKTA
zebra technologies,ZBRA
bentley systems,BSY
,035720.KS
,NTNX
,ENPH
,HOOD
ss&c,SSNC
akamai,AKAM
expedia group,EXPE
standex,YNDX.ME
sage,SGE.L
skyworks solutions,SWKS
lenovo,0992.HK
epam systems,EPAM
nice,NICE
,DT
grab,GRAB
trimble,TRMB
nexon automation,3659.T
manhattan associates,MANH
,TOST
logitech,LOGI
,ADE.OL
,XRO.AX
bandai namco,7832.T
aspentech,AZPN
,GEN
,6669.TW
,688012.SS
jd com,6618.HK
docusign,DOCU
,ALAB
jack henry associates,JKHY
,3034.TW
,ZI
lg electronics,066570.KS
juniper networks,JNPR
,PATH
,TWLO
,ESTC
nemetschek group,NEM.F
,BESI.AS
rakuten,4755.T
asus,2357.TW
,ONTO
,FUTU
,4716.T
paycom,PAYC
,PCOR
,CYBR
unity,U
amdocs,DOX
f5,FFIV
,Z
lattice semiconductor,LSCC
,ALE.WA
,GWRE
,CART
,PCTY
,MNDY
,2395.TW
,QRVO
,DAY
informatica,INFA
,CFLT
,GTLB
,VIPS
,ROKU
,3037.TW
,CAR.AX
,MTCH
,259960.KS
wayfair,W
descartes systems,DSGX
globant,GLOB
,9766.T
opentext,OTEX
,2379.TW
,MMYT
coherent corp,COHR
amkor,AMKR
,DBX
,RDDT
,6488.TWO
,DHER.F
,SOFI
macom,MTSI
,LMN.V
etsy,ETSY
,2413.T
,LYFT
,SPSC
,CHWY
,POLICYBZR.NS
,ALTR
,ZAL.DE
trend micro inc,4704.T
,TOI.V
schibsted,SCHA.OL
,0241.HK
,S
ccc intelligent solutions,CCCS
wix,WIX
,HCP
,3661.TW
next,NXT.AX
zoho,3092.T
,2408.TW
entain,ENT.L
,QLYS
,KVYO
,RBRK
,BILI
,3064.T
genpact,G
,ALGM
,NYKAA.NS
,MARA
rohm,6963.T
,3443.TW
,600588.SS
,0522.HK
global e,GLBE
,GOTO.JK
,LU
,TENB
,SMAR
,DV
,DARK.L
elxsi,TATAELXSI.NS
,NVMI
,ALIT
,3529.TWO
pegasystems,PEGA
,600060.SS
,AUR
,TPRO.MI
,VRNS
iqiyi,IQ
kpit technologies,KPITTECH.NS
squarespace,SQSP
cirrus logic,CRUS
,6415.TW
,CWAN
,CVLT
,CLVT
national semiconductor,5347.TWO
sopra steria,SOP.PA
vertex pharmaceuticals,VERX
,DOCS
,3888.HK
,NVEI
,PI
,WK
temenos,TEMN.SW
,FROG
acer group,2353.TW
,BRZE
,FORM
united internet,UTDI.F
,FRSH
,FIVN
,BLKB
,DLO
,SCT.L
,PRESIGHT.AE
silicon labs,SLAB
power integrations,POWI
,CLSK
,ESMT
,BOX
nikon,NINOY
tower semiconductor,TSEM
,BL
aci worldwide,ACIW
ionos,IOS.DE
,JUBLFOOD.NS
,TDC
nan ya plastics,8046.TW
q2 software,QTWO
axcelis technologies,ACLS
,SOI.PA
,OCDO.L
,SYNA
,ASAN
,5483.TWO
,377300.KS
,AYX
,NCNO
sanmina,SANM
envestnet,ENV
phoenix energy group,PHX.AE
,MELE.BR
,CXM
tvs,TOTS3.SA
,ATHM
wolfspeed,WOLF
,6770.TW
,8454.TW
,EMBRAC-B.ST
,DOCN
vishay,VSH
,PYCR
,KXS.TO
,RIOT
,CDR.WA
,4751.T
,TKWY.AS
,QFIN
c3,AI
ubisoft,UBI.PA
software ag,SOW.F
,MQ
lumentum operations,LITE
,RELY
sega,6460.T
,PLTK
,INST
,RPD
,ZETA
,CERT
,CRDO
,IBTA
ringcentral,RNG
,ROO.L
,YELP
,PWSC
,002624.SZ
aixtron,AIXA.F
,036570.KS
paytm,PAYTM.NS
,JAMF
,6789.TW
,SWON.SW
interdigital,IDCC
,SIMO
,LFST
,ALKT
kulicke and soffa,KLIC
,YOU
semtech,SMTC
,WAF.F
,AVDX
,HIMS
,FLYW
,WB
,APPN
intapp,INTA
,NABL
,TMV.DE
tietoevry,TIETO.HE
,CLBT
,LZ
,UPST
,NOD.OL
,PRGS
,SITM
telus,TIXT
agilysys,AGYS
,RAMP
,TDOC
,LSPD
eplus,PLUS
,CMPR
veeco instruments,VECO
,AOF.F
,VZIO
,CRTO
,3532.TW
,QTCOM.HE
suse,SUSE.DE
,BAYANAT.AE
,INDIAMART.NS
,ROVR
,YY
,PD
,SWI
verint,VRNT
,EXN.PA
,IONQ
,AMBA
,CALX
hypoport,HYQ.F
,PAYO
,RUM
,UCTT
,SEMR
playtech,PTEC.L
,TRN.L
mercer,4385.T
,3105.TWO
,DAVA
,DFIN
photronics,PLAB
,ODD
,GRND
,BMBL
,EVCM
,VYX
blackberry,BB
,SDGR
sapiens,SPNS
,ACMR
,GCT
xerox,XRX
maxlinear,MXL
,SOUN
compass,COMP
getty images,GETY
,COP.DE
,PDX.ST
kfintech,KFINTECH.NS
,SPT
,KNOS.L
,UDMY
,PRO
,PAR
,STER
,ZUO
,AVPT
,NB2.DE
,COUR
,PRG
,VTEX
pearl abyss,263750.KQ
,BYIT.L
,ETWO
revolve,RVLV
mediaalpha,MAX
diebold nixdorf,DBD
,EVBG
,TANLA.NS
netscout,NTCT
,SSTK
,DCBO
,MTTR
,ANIP
,SPT.L
,ACP.WA
omnicell,OMCL
lectra,LSS.PA
cohu,COHU
lumen,LUMN
,TBLA
,MLNK
,CIFR
,OVH.PA
,ARLO
,BASE
,ICHR
,PHR
csg,CSGS
kontron,KTN.F
,LMND
harmonic,HLIT
,688018.SS
pdf solutions,PDFS
,MAPMYINDIA.NS
,ENGH.TO
,AMPL
opera solutions,OPRA
corsair,CRSR
truecaller,TRUE-B.ST
,FSLY
,TTALO.HE
,112040.KQ
pubmatic,PUBM
,MODN
,ATEN
hellofresh,HFG.DE
,ALESK.PA
,GENI
,2432.T
,NRDS
,INFIBEAM.NS
,2121.T
,HUYA
,YSN.F
nagarro,NA9.DE
,MUM.F
,TUYA
,THG.L
,RPAY
,TRST.L
ziprecruiter,ZIP
,QNST
